player,model,k,n_train,train_log_loss,BIC,AIC,ΔBIC,ΔAIC
Kawhi Leonard,gp_context,12,5291,0.6366,6839.39,6760.5,4.26,0.0
Kemba Walker,intercept_only,1,7052,0.6808,9610.86,9604.0,366.55,442.02
Kemba Walker,binned_EB,2,7052,0.6559,9268.54,9254.81,24.22,92.83
Kemba Walker,logistic_RBF,101,7052,0.6515,10083.72,9390.76,839.41,228.77
Kemba Walker,gp_location,4,7052,0.6545,9266.51,9239.07,22.2,77.09
Kemba Walker,gp_context,12,7052,0.6479,9244.31,9161.98,0.0,0.0
Kevin Durant,intercept_only,1,7965,0.6931,11050.07,11043.08,981.24,1058.05
Kevin Durant,binned_EB,2,7965,0.6383,10186.08,10172.12,117.26,187.09
Kevin Durant,logistic_RBF,101,7965,0.6408,11115.21,10409.94,1046.39,424.92
Kevin Durant,gp_location,4,7965,0.6424,10269.36,10241.43,200.54,256.4
Kevin Durant,gp_context,12,7965,0.6253,10068.82,9985.03,0.0,0.0
Klay Thompson,intercept_only,1,8325,0.6895,11489.2,11482.18,430.53,454.19
Klay Thompson,binned_EB,2,8325,0.6631,11058.67,11044.62,0.0,16.63
Klay Thompson,logistic_RBF,101,8325,0.6654,11990.64,11280.91,931.97,252.92
Klay Thompson,gp_location,4,8325,0.6703,11196.6,11168.5,137.93,140.51
Klay Thompson,gp_context,12,8325,0.6609,11112.31,11027.98,53.64,0.0
Kyle Lowry,intercept_only,1,5644,0.6819,7705.93,7699.29,364.99,371.63
Kyle Lowry,binned_EB,2,5644,0.6488,7340.93,7327.65,0.0,0.0
Kyle Lowry,logistic_RBF,101,5644,0.6499,8208.54,7538.07,867.61,210.42
Kyle Lowry,gp_location,4,5644,0.6545,7422.55,7396.0,81.62,68.34
Kyle Lowry,gp_context,12,5644,0.6472,7409.25,7329.59,68.32,1.94
Kyrie Irving,intercept_only,1,6992,0.6905,9664.8,9657.95,373.88,449.26
Kyrie Irving,binned_EB,2,6992,0.664,9303.08,9289.38,12.16,80.68
Kyrie Irving,logistic_RBF,101,6992,0.6643,10183.68,9491.57,892.75,282.88
Kyrie Irving,gp_location,4,6992,0.6681,9378.12,9350.71,87.2,142.02
Kyrie Irving,gp_context,12,6992,0.6568,9290.92,9208.69,0.0,0.0
LaMarcus Aldridge,intercept_only,1,7416,0.6927,10283.04,10276.13,695.49,771.51
LaMarcus Aldridge,binned_EB,2,7416,0.6518,9685.32,9671.5,97.77,166.88
LaMarcus Aldridge,logistic_RBF,101,7416,0.652,10570.51,9872.46,982.96,367.85
LaMarcus Aldridge,gp_location,4,7416,0.6538,9732.81,9705.16,145.26,200.55
LaMarcus Aldridge,gp_context,12,7416,0.6392,9587.55,9504.61,0.0,0.0
LeBron James,intercept_only,1,9034,0.6913,12499.52,12492.41,1674.08,1752.28
LeBron James,binned_EB,2,9034,0.6033,10918.64,10904.42,93.21,164.29
LeBron James,logistic_RBF,101,9034,0.6079,11903.52,11185.54,1078.09,445.41
LeBron James,gp_location,4,9034,0.6085,11030.81,11002.38,205.38,262.25
LeBron James,gp_context,12,9034,0.5931,10825.44,10740.13,0.0,0.0
Marc Gasol,intercept_only,1,5389,0.6899,7444.33,7437.74,335.53,408.04
Marc Gasol,binned_EB,2,5389,0.6605,7136.05,7122.87,27.25,93.17
Marc Gasol,logistic_RBF,101,5389,0.6609,7990.98,7325.18,882.18,295.48
Marc Gasol,gp_location,4,5389,0.6666,7218.98,7192.61,110.18,162.91
Marc Gasol,gp_context,12,5389,0.65,7108.81,7029.7,0.0,0.0
Nikola Vucevic,intercept_only,1,5340,0.6931,7410.89,7404.31,410.75,483.16
Nikola Vucevic,binned_EB,2,5340,0.6564,7027.52,7014.35,27.38,93.21
Nikola Vucevic,logistic_RBF,101,5340,0.6602,7917.82,7252.94,917.68,331.79
Nikola Vucevic,gp_location,4,5340,0.6639,7124.78,7098.45,124.64,177.31
Nikola Vucevic,gp_context,12,5340,0.6458,7000.14,6921.14,0.0,0.0
Paul George,intercept_only,1,7015,0.6837,9601.17,9594.31,538.15,613.56
Paul George,binned_EB,2,7015,0.6491,9124.58,9110.87,61.56,130.12
Paul George,logistic_RBF,101,7015,0.6488,9997.1,9304.66,934.08,323.91
Paul George,gp_location,4,7015,0.6527,9192.8,9165.38,129.78,184.63
Paul George,gp_context,12,7015,0.6384,9063.02,8980.75,0.0,0.0
Russell Westbrook,intercept_only,1,8697,0.6841,11908.31,11901.24,837.76,915.54
Russell Westbrook,binned_EB,2,8697,0.6376,11108.56,11094.41,38.01,108.72
Russell Westbrook,logistic_RBF,101,8697,0.6374,12003.08,11288.94,932.53,303.24
Russell Westbrook,gp_location,4,8697,0.6378,11130.18,11101.89,59.63,116.19
Russell Westbrook,gp_context,12,8697,0.6302,11070.55,10985.7,0.0,0.0
Serge Ibaka,intercept_only,1,5170,0.6931,7175.2,7168.65,617.02,687.32
Serge Ibaka,binned_EB,2,5170,0.6326,6558.19,6545.08,0.0,63.75
Serge Ibaka,logistic_RBF,101,5170,0.6382,7462.6,6800.99,904.42,319.66
Serge Ibaka,gp_location,4,5170,0.641,6662.14,6635.94,103.96,154.61
Serge Ibaka,gp_context,12,5170,0.6245,6559.94,6481.33,1.75,0.0
Stephen Curry,intercept_only,1,8646,0.6916,11968.21,11961.15,490.67,524.43
Stephen Curry,binned_EB,2,8646,0.6627,11477.54,11463.41,0.0,26.69
Stephen Curry,logistic_RBF,101,8646,0.6645,12406.08,11692.53,928.55,255.81
Stephen Curry,gp_location,4,8646,0.669,11604.61,11576.35,127.07,139.63
Stephen Curry,gp_context,12,8646,0.66,11521.5,11436.72,43.96,0.0
Thaddeus Young,intercept_only,1,5078,0.6931,7047.66,7041.12,619.09,690.95
Thaddeus Young,binned_EB,2,5078,0.6399,6515.89,6502.82,87.33,152.65
Thaddeus Young,logistic_RBF,101,5078,0.6414,7375.86,6716.06,947.29,365.89
Thaddeus Young,gp_location,4,5078,0.6468,6603.03,6576.9,174.47,226.73
Thaddeus Young,gp_context,12,5078,0.6229,6428.56,6350.17,0.0,0.0
Tobias Harris,intercept_only,1,5112,0.6913,7076.39,7069.85,501.1,573.04
Tobias Harris,binned_EB,2,5112,0.6439,6600.31,6587.23,25.03,90.42
Tobias Harris,logistic_RBF,101,5112,0.6449,7455.93,6795.46,880.64,298.64
Tobias Harris,gp_location,4,5112,0.6492,6671.58,6645.42,96.29,148.61
Tobias Harris,gp_context,12,5112,0.6331,6575.29,6496.81,0.0,0.0
